TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金.預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益,ops
570158561,株式会社　サカイ引越センター,27141_大阪府堺市堺区,J_運輸・通信業,2012,3,3673,48841971,5410845,4281938,1894277,2387081,236923,906931,43431126,40783237,48841971,19497308,12929883,NA,NA,3558200,29344662,32612812,25994052,54632647,49987034,33403327,21229320,16583707,179536,5120824,NA,1078219,521122,4645613,38943,4847739,4845044,2284397,8.50336429790781
581748091,日本エスリード　株式会社,27103_大阪府大阪市福島区,I_不動産業,2012,3,167,48891223,43863161,10631113,10319231,311882,31621798,1610246,5028062,4439518,48891223,24623947,11404823,4312294,500000,12434314,24267276,24256221,19463623,19579155,17266355,13827884,5751271,3438471,NA,1489986,NA,NA,61723,2312800,588168,1794935,1799994,966321,11.8125629017187
580018401,株式会社　マンダム,27128_大阪府大阪市中央区,F_製造業,2012,3,544,49147000,25271000,20539000,2511000,4097000,3909000,817000,23876000,8850000,49147000,6777000,5257000,NA,NA,NA,42370000,42714000,21934000,41262000,37228000,18888000,22373000,18340000,NA,3158000,NA,NA,563000,4033000,86000,4592000,4391000,2733000,9.77436320011633
580396941,株式会社　パル,27128_大阪府大阪市中央区,G_卸・小売業，飲食店,2012,2,1406,50250520,32357717,28134152,25502787,2631365,3009679,1214527,17892803,6244992,50250520,26266421,16450076,1655141,NA,5864762,23984098,23969522,18552246,67075053,59391355,28602064,38472988,30789291,259530,8313767,NA,647489,839419,7683696,82289,7737257,6959312,3819448,11.4553709179383
580163671,株式会社　日阪製作所,27128_大阪府大阪市中央区,F_製造業,2012,3,464,50746373,22756250,16234698,7674734,6144855,4224251,2307296,27990122,11761313,50746373,9117772,8556775,1567,NA,NA,41628600,39977868,27804796,22693611,20430167,17508995,5184615,2921172,230841,680242,NA,157420,23968,2263443,5849,2572112,2841096,1399085,9.97392217456808
586769156,株式会社　プレサンスコーポレーション,27128_大阪府大阪市中央区,I_不動産業,2012,3,117,51094157,46572306,13751883,13746883,5000,32029401,791018,4521851,3150006,51094157,25698956,11834646,1023065,NA,13619900,25395201,25362420,22974792,35078961,28072884,22436616,12642344,5636268,279000,1002841,NA,35810,19588,7006075,260087,6824788,6825680,3744702,19.9722996348809
580258194,大和冷機工業　株式会社,27109_大阪府大阪市天王寺区,F_製造業,2012,12,1872,52871767,41624993,38814690,35466021,2244232,1901496,917120,11246773,7562401,52871767,8648865,6498636,1225475,NA,NA,44222901,44235988,24644336,27364562,23200617,11378656,15985906,11821961,NA,5806079,NA,NA,243320,4163944,110120,4284022,4272421,2387674,15.2165563622031
588201204,株式会社　ドウシシャ,27128_大阪府大阪市中央区,G_卸・小売業，飲食店,2012,3,758,55031635,41422113,34623905,19204573,13869282,5653763,1149239,13609522,8431692,55031635,11056483,8221994,NA,NA,NA,43975152,43781281,33124050,97776733,89585579,73967619,23809114,15617960,132685,4602301,NA,NA,245337,8191154,146081,8313501,7994313,4650986,8.37740610539728
580159651,東洋炭素　株式会社,27127_大阪府大阪市北区,F_製造業,2012,5,992,56194722,25874851,13298949,4064390,7792090,11600185,1037814,30319871,22692474,56194722,13583787,12094686,464844,800000,353366,42610935,42577878,25408550,28437094,25953773,21131322,7305772,4822451,310401,862631,NA,NA,83816,2483321,272314,2750633,2880159,1310067,8.73268203846708
580146957,株式会社　藤商事,27128_大阪府大阪市中央区,F_製造業,2012,3,387,56958000,44534000,35932000,28740000,3191000,3252000,5355000,12423000,7270000,56958000,13160000,11707000,NA,NA,NA,43797000,43683000,37630000,43027000,35731000,22036000,20990000,13695000,NA,1077000,NA,NA,622000,7295000,97000,7328000,7425000,4087000,16.9548645005346
